ID	x
ENSMUSG00000026857.9|Ntmt1	2
ENSMUSG00000026848.14|Tor1b	2
ENSMUSG00000000194.13|Gpr107	2
ENSMUSG00000062661.6|Ncs1	1
ENSMUSG00000055632.18|Hmcn2	1
ENSMUSG00000087549.1|Gm13427	2
ENSMUSG00000026842.16|Abl1	5
ENSMUSG00000001855.15|Nup214	3
ENSMUSG00000090157.7|Gm16534	3
ENSMUSG00000039262.16|Prrc2b	2
ENSMUSG00000039254.16|Pomt1	2
ENSMUSG00000026820.5|Ptges2	1
ENSMUSG00000039164.2|Naif1	3
ENSMUSG00000039157.12|Fam102a	1
ENSMUSG00000026810.12|Dpm2	2
ENSMUSG00000079442.12|St6galnac4	1
ENSMUSG00000026817.14|Ak1	2
ENSMUSG00000026814.16|Eng	1
ENSMUSG00000059013.12|Sh2d3c	2
ENSMUSG00000009563.16|Tor2a	1
ENSMUSG00000038987.8|Cfap157	2
ENSMUSG00000026796.16|Fam129b	1
ENSMUSG00000086904.1|Gm13404	1
ENSMUSG00000038696.14|Mapkap1	1
ENSMUSG00000026864.13|Hspa5	1
ENSMUSG00000026883.17|Dab2ip	3
ENSMUSG00000026887.9|Mrrf	1
ENSMUSG00000000247.11|Lhx2	1
ENSMUSG00000026749.11|Nek6	2
ENSMUSG00000026755.14|Arpc5l	1
ENSMUSG00000052155.5|Acvr2a	1
ENSMUSG00000036792.12|Mbd5	3
ENSMUSG00000069495.12|Epc2	2
ENSMUSG00000036202.16|Rif1	7
ENSMUSG00000036053.17|Fmnl2	2
ENSMUSG00000026960.6|Arl6ip6	1
ENSMUSG00000026824.11|Kcnj3	1
ENSMUSG00000026827.12|Gpd2	1
ENSMUSG00000026991.20|Pkp4	2
ENSMUSG00000035168.16|Tanc1	3
ENSMUSG00000064289.15|Tank	1
ENSMUSG00000044647.16|Csrnp3	3
ENSMUSG00000034780.6|B3galt1	2
ENSMUSG00000063145.10|Bbs5	1
ENSMUSG00000042133.16|Ppig	1
ENSMUSG00000027088.10|Phospho2	3
ENSMUSG00000044308.17|Ubr3	1
ENSMUSG00000075304.2|Sp5	1
ENSMUSG00000041966.18|Dcaf17	1
ENSMUSG00000027111.15|Itga6	2
ENSMUSG00000006494.11|Pdk1	1
ENSMUSG00000004085.14|Map3k20	1
ENSMUSG00000008226.14|Scrn3	2
ENSMUSG00000001819.4|Hoxd13	1
ENSMUSG00000059005.13|Hnrnpa3	1
ENSMUSG00000027007.16|Itprid2	3
ENSMUSG00000027006.13|Dnajc10	2
ENSMUSG00000027091.14|Zc3h15	2
ENSMUSG00000027087.11|Itgav	1
ENSMUSG00000048388.3|Fam171b	1
ENSMUSG00000086598.9|Btbd18	2
ENSMUSG00000027080.6|Med19	1
ENSMUSG00000027075.16|Slc43a1	1
ENSMUSG00000027067.16|Ssrp1	1
ENSMUSG00000033955.13|Tnks1bp1	6
ENSMUSG00000051329.13|Nup160	1
ENSMUSG00000005505.12|Kbtbd4	2
ENSMUSG00000063235.16|Ptpmt1	4
ENSMUSG00000002103.15|Acp2	1
ENSMUSG00000027253.15|Lrp4	1
ENSMUSG00000040549.16|Ckap5	1
ENSMUSG00000027243.8|Harbi1	2
ENSMUSG00000040506.16|Ambra1	3
ENSMUSG00000058318.15|Phf21a	1
ENSMUSG00000027220.2|Syt13	1
ENSMUSG00000027164.8|Traf6	2
ENSMUSG00000027163.13|Commd9	1
ENSMUSG00000032724.5|Abtb2	1
ENSMUSG00000027180.12|Fbxo3	2
ENSMUSG00000086454.7|Platr14	1
ENSMUSG00000027175.10|Tcp11l1	1
ENSMUSG00000045106.12|Ccdc73	1
ENSMUSG00000027168.21|Pax6	1
ENSMUSG00000027115.14|Kif18a	1
ENSMUSG00000048482.14|Bdnf	1
ENSMUSG00000050199.13|Lgr4	1
ENSMUSG00000086186.1|Ccdc34os	2
ENSMUSG00000027133.3|Nop10	1
ENSMUSG00000096764.1|Gm21985	2
ENSMUSG00000027132.3|Katnbl1	1
ENSMUSG00000003604.14|Aven	1
ENSMUSG00000087545.1|Gm13966	1
ENSMUSG00000040282.13|BC052040	1
ENSMUSG00000027351.14|Spred1	2
ENSMUSG00000027349.5|Fam98b	1
ENSMUSG00000040152.8|Thbs1	1
ENSMUSG00000005102.13|Eif2ak4	1
ENSMUSG00000074918.4|Inafm2	2
ENSMUSG00000027331.15|Knstrn	1
ENSMUSG00000027332.11|Ivd	1
ENSMUSG00000074916.5|Chst14	2
ENSMUSG00000027324.1|Rpusd2	2
ENSMUSG00000027326.13|Knl1	2
ENSMUSG00000027323.10|Rad51	1
ENSMUSG00000068580.11|Zfyve19	1
ENSMUSG00000027315.13|Spint1	2
ENSMUSG00000034216.12|Vps18	5
ENSMUSG00000027313.3|Chac1	2
ENSMUSG00000085438.1|1700020I14Rik	1
ENSMUSG00000027304.9|Rtf1	3
ENSMUSG00000027296.7|Itpka	1
ENSMUSG00000027298.17|Tyro3	2
ENSMUSG00000033943.15|Mga	8
ENSMUSG00000033902.12|Mapkbp1	1
ENSMUSG00000087458.1|Gm13999	2
ENSMUSG00000033852.16|Gm28042	1
ENSMUSG00000098488.7|Pla2g4b	1
ENSMUSG00000074899.6|Sptbn5	3
ENSMUSG00000062646.12|Ganc	2
ENSMUSG00000033705.17|Stard9	2
ENSMUSG00000054484.14|Tmem62	1
ENSMUSG00000027259.15|Adal	1
ENSMUSG00000027254.13|Map1a	10
